indice_cliente,probabilidade_churn,churn_real
8574,0.9985997224328917,1
6244,0.9980116984016432,1
5925,0.9977509885455438,1
1830,0.9977271608910453,1
8120,0.9969598493330172,1
4406,0.9967720665268667,1
2414,0.9962437124189119,1
1693,0.9961305577530748,1
8959,0.9958748651513802,1
4926,0.9952289756551673,1
3811,0.9945006449859651,1
886,0.9944122488610916,0
8044,0.9941061757701329,1
4872,0.9931965334553736,1
3272,0.993184182333542,1
5874,0.9931257465265815,1
5753,0.9930364886004511,1
2221,0.9926232474748108,1
4952,0.9925848163420067,1
4339,0.992553569176856,1
1917,0.9923166672471008,1
9898,0.9920368536452407,1
5765,0.9918379943122105,1
1251,0.9909587598546746,1
2849,0.9907663314797814,1
8084,0.9904508701524091,1
3049,0.9904351993446737,1
653,0.9903756423981724,1
4730,0.9903738489669871,1
6111,0.9896947278966324,1
7253,0.9889940193424467,1
8319,0.9886603244104099,1
5352,0.988655754920008,1
8551,0.988492002146953,1
3306,0.9880060193021104,1
5542,0.9878596937198825,1
7998,0.9875678000341961,1
5107,0.9875359618241525,1
1082,0.9870620108827788,0
243,0.9857435393317698,1
7806,0.9857362650431608,1
6002,0.9856369067896458,1
8186,0.9856036751431227,1
583,0.9846507074291866,1
9533,0.9841704194484563,1
7232,0.9831796129301161,1
568,0.9824654211042536,1
649,0.9820572595979086,1
6064,0.9818663469420358,1
1634,0.9817993991596988,1
230,0.9816397823134481,1
1915,0.9816194587826866,0
3025,0.9816187860978253,1
4577,0.9815195835938544,1
207,0.9806885283143464,1
6924,0.9801173854266286,1
9017,0.980058476516784,1
6907,0.9795159035333549,1
172,0.9791181122510836,1
5185,0.9786285537740445,1
1852,0.9778479339214786,0
3321,0.9775093764063938,1
8999,0.9773813823532472,1
6082,0.9765284452539407,1
7478,0.9749841367444223,1
5855,0.9739607109657725,1
6356,0.9735319553613737,1
2983,0.9728804618439477,0
10124,0.9711884977945732,1
5086,0.9700256341081634,1
4423,0.9691232845783674,0
7143,0.9687391203822473,1
8149,0.9679521924779764,1
717,0.9665704126826943,1
425,0.9658887955958226,0
9567,0.9657912540795821,1
8008,0.9655089930579068,1
1350,0.9646312481504525,1
105,0.9641398680586705,0
7082,0.9635877829093735,1
7065,0.9628682596145512,1
558,0.9627538444080023,0
4387,0.9621809655694304,1
5562,0.9621675440588053,1
8398,0.962117244247861,1
6195,0.9610770132386843,1
9777,0.9593421004918313,1
9388,0.9587485881955107,1
5507,0.9582083614592766,1
522,0.9577654911437534,1
8814,0.9576318826551756,1
3086,0.9572515264417768,1
6013,0.9568677173188362,1
83,0.9568095874406636,0
4177,0.9564688486532433,1
4805,0.9563516259685373,1
2025,0.9561179619496933,0
6764,0.9547231280616633,1
7081,0.9546824428587203,1
920,0.9534109082569112,0
4443,0.9530181338542817,1
4562,0.9527873132578593,1
7039,0.9527208299631164,1
1836,0.951759910969117,0
1820,0.9507304155012872,0
7997,0.9499927024370278,1
1168,0.9490943326101984,1
9878,0.9488941935099224,0
1680,0.9485991450104999,0
1968,0.9485382672148055,1
7489,0.9478070645785438,1
8767,0.9477836628130245,1
8075,0.9456610646201383,1
2768,0.9448978595662065,0
7529,0.9447188191622241,1
4088,0.9430997051293328,0
291,0.9429139773761869,0
7664,0.9426575899844772,1
9458,0.9424298126114184,1
2870,0.9416699324556201,1
6235,0.9412456217884967,1
3167,0.9406007844839859,0
236,0.9398858376372724,1
